,lamb,fun,p0,p1,p2,p3,p4,p5,p6
0,0.01,-13546.994130822044,3.83636609e-07,1042.5879,925.530465,923.2741,624.826344,491.393137,599.068645
1,0.011937766417144363,-13546.9941307508,3.28940965e-08,1042.58665,925.525614,923.277134,624.817024,491.395356,599.082896
2,0.014251026703029978,-13546.99413063042,5.34888155e-09,1042.56857,925.545707,923.269918,624.826467,491.398747,599.081509
3,0.017012542798525893,-13546.99413083927,1.18288751e-09,1042.58422,925.529645,923.269633,624.825414,491.392664,599.072135
4,0.020309176209047358,-13546.994130702522,1.66561085e-08,1042.58442,925.536322,923.249625,624.826759,491.390612,599.072198
5,0.024244620170823284,-13546.994130784511,3.70283255e-09,1042.57878,925.527352,923.276179,624.831924,491.395506,599.075411
6,0.028942661247167517,-13546.994130753515,1.44965683e-08,1042.59676,925.533835,923.264974,624.827399,491.386906,599.067418
7,0.0345510729459222,-13546.994130809957,3.06929304e-11,1042.57993,925.527359,923.274319,624.821265,491.390302,599.068629
8,0.04124626382901352,-13546.99413083394,8.03266746e-08,1042.58294,925.52932,923.268963,624.823539,491.392218,599.070729
9,0.04923882631706739,-13546.994130836398,1.4917183e-10,1042.58329,925.530599,923.27191,624.823535,491.392378,599.072869
10,0.05878016072274912,-13546.994130822104,3.52371135e-07,1042.58159,925.531522,923.267754,624.825111,491.394634,599.069809
11,0.07017038286703829,-13546.99413083605,1.23366618e-07,1042.58316,925.53005,923.270227,624.824372,491.392774,599.072016
12,0.0837677640068292,-13546.994130693844,1.02729827e-07,1042.58733,925.529322,923.281785,624.815915,491.390622,599.085366
13,0.1,-13546.99413073782,4.77605673e-09,1042.57802,925.52829,923.255807,624.826972,491.39605,599.065142
14,0.1193776641714437,-13546.994130196425,0.000253617452,1042.5843,925.529826,923.269966,624.825423,491.392432,599.071661
15,0.14251026703029984,-13546.994132163247,0.000253834609,1042.58435,925.529917,923.269862,624.825321,491.392349,599.071636
16,0.17012542798525893,-13547.046162279603,5.53700958,1043.97323424,926.68460793,924.04393121,627.72173623,490.72787061,592.64044743
17,0.20309176209047358,-13547.243579384773,24.26202207,1045.54193905,932.82088128,896.33940888,624.70132003,495.54826942,583.14332803
18,0.24244620170823283,-13547.409450846757,32.9066612,1040.70085053,924.57858415,893.41926263,619.53632104,492.58316856,566.61885253
19,0.28942661247167517,-13547.31688578389,25.31219267,1044.36587052,919.69982683,892.8878595,620.08959608,493.36969346,575.24319653
20,0.345510729459222,-13547.2151922169,19.25358749,1037.79629229,923.41704427,903.08712453,618.13222466,494.12312036,583.29999136
21,0.41246263829013524,-13547.094700833524,11.37123621,1043.09933488,927.09358916,912.3933585,619.58766006,492.37441638,594.54365899
22,0.49238826317067413,-13546.994133217631,0.000253394208,1042.58437,925.529856,923.269827,624.825271,491.392404,599.07169
23,0.5878016072274915,-13546.994130492954,0.000253360955,1042.58432,925.529813,923.269845,624.825199,491.392474,599.071677
24,0.701703828670383,-13546.994130839237,1.0878542e-09,1042.58424,925.530105,923.270417,624.825283,491.392164,599.071426
25,0.837677640068292,-13546.994130827075,8.93180548e-09,1042.58134,925.52657,923.271762,624.823138,491.391089,599.072405
26,1.0,-13546.99413038946,3.54098268e-09,1042.60144,925.52575,923.286369,624.842246,491.376501,599.055109
27,1.1937766417144369,-13546.994130631305,2.24969885e-09,1042.5807,925.530873,923.279849,624.829952,491.390729,599.049765
28,1.4251026703029992,-13546.994130833944,4.86605338e-10,1042.58522,925.528843,923.26943,624.82785,491.392477,599.07429
29,1.7012542798525891,-13546.994130647412,6.5819934e-08,1042.57767,925.546356,923.261433,624.829183,491.382606,599.077019
30,2.030917620904737,-13546.994130839259,2.32038557e-11,1042.58456,925.529635,923.269427,624.825202,491.392432,599.071684
31,2.424462017082328,-13546.99413082276,2.8265258e-10,1042.58278,925.532153,923.270724,624.826368,491.396992,599.074164
32,2.8942661247167516,-13546.994130134131,1.1937992e-08,1042.57945,925.521761,923.258926,624.859388,491.385757,599.045958
33,3.4551072945922217,-13546.994130830575,6.26176275e-09,1042.58233,925.530662,923.266196,624.825791,491.391009,599.069735
34,4.1246263829013525,-13546.994130839044,4.96548698e-11,1042.58398,925.529776,923.270281,624.825431,491.392209,599.072813
35,4.923882631706742,-13546.994130836887,1.4762347e-10,1042.58499,925.530124,923.270086,624.822911,491.392809,599.072394
36,5.878016072274912,-13546.994130802621,4.76680369e-08,1042.5874,925.528586,923.275631,624.828067,491.393242,599.078969
37,7.01703828670383,-13546.994130839304,2.92206788e-11,1042.58452,925.529639,923.27059,624.825668,491.392352,599.071872
38,8.376776400682925,-13546.994130657973,3.89545787e-11,1042.59833,925.52155,923.26464,624.813905,491.403813,599.067421
39,10.0,-13546.994130698504,4.15733066e-07,1042.57642,925.532666,923.260523,624.834069,491.383561,599.06187
40,0.01,-13546.994130836112,3.836366086864682e-07,1042.58433553,925.52989176,923.27007803,624.82537464,491.39240271,599.07190103
