,lamb,fun,p0,p1,p2,p3,p4,p5,p6
0,0.03162277660168379,-11108.071554399812,0.00027353454,1175.67614,865.377132,822.609703,2959.4284,627.874258,458.314449
1,0.03842513346254321,-11108.07155453929,0.000273534537,1175.6761,865.377099,822.609729,2959.42849,627.87423,458.314435
2,0.04669074130371087,-11108.071554580863,0.000273533908,1175.67611,865.377133,822.609665,2959.42843,627.874121,458.314388
3,0.056734359182256,-11108.071554464152,0.000273563044,1175.67607,865.37713,822.609629,2959.42842,627.874208,458.314446
4,0.06893845379073933,-11108.071554189406,0.000273529563,1175.67611,865.377118,822.609623,2959.42839,627.874229,458.314461
5,0.08376776400682916,-11108.07155380339,0.00027353075,1175.67616,865.37718,822.609591,2959.4284,627.874251,458.314432
6,0.10178699841461257,-11108.07155437848,6.36188641e-09,1175.67362,865.379281,822.611268,2959.44171,627.870004,458.312778
7,0.12368233972929839,-11108.07155438711,1.32936883e-08,1175.6766,865.373644,822.608503,2959.43196,627.871107,458.316921
8,0.15028757502606047,-11108.071554393293,2.64278044e-09,1175.67989,865.377827,822.609406,2959.42541,627.874831,458.315132
9,0.18261584682702608,-11108.07155439153,7.73576723e-08,1175.67686,865.375115,822.608554,2959.42237,627.874475,458.312731
10,0.22189823414589707,-11108.071554334183,2.04672605e-10,1175.67328,865.370581,822.613491,2959.42708,627.88143,458.322117
11,0.2696306326783702,-11108.071554349788,3.04860989e-07,1175.68714,865.376144,822.610816,2959.42,627.87596,458.312064
12,0.32763071936272287,-11108.071554393977,7.79414478e-09,1175.67401,865.377707,822.60847,2959.43206,627.871877,458.315122
13,0.39810717055349715,-11108.071554368897,1.24011622e-10,1175.67517,865.381295,822.610034,2959.4428,627.878296,458.314046
14,0.48374376967578037,-11108.071554202485,3.91838311e-08,1175.69049,865.384687,822.600552,2959.41918,627.867427,458.302759
15,0.5878016072274912,-11108.071554183065,1.81391935e-08,1175.67633,865.377989,822.617972,2959.41504,627.896217,458.304364
16,0.714243264963998,-11108.071554996865,0.000273590787,1175.67598,865.377103,822.60944,2959.42835,627.874155,458.314495
17,0.8678837132695965,-11108.091315541427,1.29671123,1175.27207,865.4111,821.407505,2958.97105,627.909093,458.322235
18,1.0545736679737403,-11108.125762193593,1.74019695,1175.03389,865.433062,821.177639,2958.66589,627.927264,458.365423
19,1.2814223889440834,-11108.165283656524,1.98196441,1174.8129,865.43532,821.1469,2958.47369,627.933833,458.346556
20,1.55706840475373,-11108.208386065031,2.21118779,1174.56735,865.437886,821.135971,2958.11235,627.948498,458.416937
21,1.8920084727722997,-11108.255154751361,2.46984195,1174.29587,865.395767,821.206105,2957.77032,627.991159,458.399905
22,2.298997301668543,-11108.304672802937,2.77884382,1174.02181,865.346563,821.264762,2957.3429,628.029854,458.419194
23,2.7935332579852195,-11108.354587035587,3.13314844,1173.64161838,865.29738144,821.3197198,2956.90884656,628.0880551,458.46681853
24,3.39444855276939,-11108.401821332185,3.51774812,1173.24701496,865.23133956,821.37236009,2956.27955974,628.07162997,458.41977068
25,4.124626382901348,-11108.443472412742,3.93662772,1172.74339744,865.18648797,821.58525999,2955.8843552,628.06699311,458.49488748
26,5.011872336272719,-11108.477301653169,4.37659013,1172.45002364,865.10854747,821.58950832,2955.29314526,628.1266226,458.56302136
27,6.089973244419447,-11108.501843170623,4.85795815,1171.99616645,865.11792584,821.70713594,2954.65848021,628.19647912,458.53906276
28,7.399983804321421,-11108.516595622981,5.37432918,1171.56635799,865.08358304,821.84434299,2954.01094755,628.26044566,458.55507624
29,8.991789964660114,-11108.522155489365,5.93125319,1171.21194413,865.09447133,821.97384414,2953.27924543,628.32254157,458.63073949
30,10.92600861117378,-11108.520237836226,6.54912267,1170.84680674,865.13585077,822.06733677,2952.54420248,628.3551256,458.64112783
