,lamb,fun,p0,p1,p2,p3,p4,p5,p6
0,0.01,-6448.308824270148,0.00504801447,578.638764,515.256078,632.306232,2940.88759,634.511739,469.676803
1,0.012663801734674034,-6448.308341357395,0.0851747162,578.729692,515.478996,631.769599,2940.93145,634.881257,469.96257
2,0.0160371874375133,-6448.30876457239,0.0142889069,578.799552,515.695548,632.268081,2940.4357,634.503305,469.47079
3,0.020309176209047358,-6448.307264101871,0.203332325,579.638031,514.871215,632.081258,2939.27203,634.531981,469.772829
4,0.025719138090593445,-6448.306664754304,0.0152782738,579.741312,515.909365,630.874686,2939.05733,633.252662,468.493627
5,0.03257020655659783,-6448.308193502996,0.00315994847,578.558888,515.652033,631.098482,2943.17345,634.159946,469.616718
6,0.04124626382901352,-6448.308818333039,0.00180823861,579.206016,515.352275,631.732784,2941.53645,634.304962,468.800064
7,0.052233450742668434,-6448.308881798894,0.00239540162,579.433625,515.582923,631.91606,2941.06254,634.507548,469.725715
8,0.06614740641230149,-6448.308827012555,0.00546125421,579.192687,515.293894,631.591378,2941.05664,634.1503,469.102735
9,0.08376776400682916,-6448.308889085504,0.00115744449,579.220594,515.412963,632.279076,2941.13458,635.061416,469.422228
10,0.10608183551394483,-6448.821766786781,623.993785,575.024759,516.379433,0.00091783273,2941.67384,634.417005,469.334343
11,0.13433993325989002,-6449.032871171456,162.92151357,572.3541909,516.89001126,461.37019664,2941.57340296,634.42935595,469.47282325
12,0.17012542798525893,-6449.103947459955,89.22451697,570.64933234,517.22667131,538.08217184,2941.53284176,634.37131773,469.42795988
13,0.21544346900318834,-6449.036242397497,56.92968977,569.6128852,517.50848781,573.30390985,2941.49912456,634.40706951,469.43263364
14,0.2728333376486768,-6448.8327780132395,36.42455971,569.50617661,517.49742643,596.11493382,2941.38382393,634.3849105,469.44720615
15,0.34551072945922184,-6448.572441497872,21.00590386,571.17007473,517.11066886,612.70913087,2941.35124198,634.43860569,469.43215762
16,0.43754793750741844,-6448.384176815676,9.62989801,574.17336655,516.42719613,624.05699819,2941.26911537,634.35099733,469.44384995
17,0.5541020330009492,-6448.3230542696,3.50787748,576.86396726,515.83365255,629.54067806,2941.38855577,634.46174923,469.459716
18,0.7017038286703826,-6448.332140618755,3.29224611,576.67960605,515.88408029,630.10671449,2941.07426698,634.40920015,469.40014198
19,0.8886238162743403,-6448.39953396184,4.54879149,575.23121051,516.16456804,629.68909446,2940.36277073,634.50703456,469.41031672
20,1.1253355826007645,-6448.511786554425,5.0568309,574.35393405,516.28818341,629.96432549,2939.6670087,634.47871439,469.46522961
21,1.4251026703029979,-6448.625358038479,5.06643271,573.98883074,516.33627537,630.38663139,2939.13262452,634.58358516,469.48799983
22,1.8047217668271702,-6448.711482604198,4.8859407,574.06637241,516.23421745,630.84145277,2938.78133694,634.61722595,469.56124458
23,2.2854638641349907,-6448.764538297982,4.71207518,574.20285515,516.09387874,631.19209059,2938.38302107,634.6425578,469.58738374
24,2.8942661247167516,-6448.794359308697,4.6408382,574.38063887,515.93004149,631.4491414,2938.01125693,634.64268241,469.54708455
25,3.665241237079626,-6448.815833198043,4.75859128,574.47490932,515.83401801,631.63094102,2937.6832354,634.70620639,469.603302
26,4.6415888336127775,-6448.841770083118,5.12925729,574.42948319,515.68710416,631.7855497,2936.85149482,634.74778706,469.60173457
27,5.878016072274912,-6448.8801535546545,5.79078186,574.24948514,515.60998676,631.81494972,2936.09689562,634.77051219,469.61083775
28,7.443803013251689,-6448.934200186459,6.79946813,574.04429325,515.52151904,631.87806611,2934.67018279,634.94541944,469.73238291
29,9.426684551178854,-6449.003994543202,8.21413173,573.66794561,515.4399423,631.88227501,2933.08605107,635.0621547,469.84102974
30,11.937766417144358,-6449.089237327464,10.13325219,573.32654407,515.42288619,632.03395367,2930.79552583,635.15619848,469.92435283
31,15.117750706156615,-6449.191524495769,12.68523859,572.95070717,515.44095688,632.00386333,2927.7999323,635.46214179,470.10740196
32,19.144819761699576,-6449.314362016416,16.10945335,572.58370317,515.42935716,632.01532155,2923.83893629,635.6761162,470.29509483
33,24.244620170823282,-6449.461359186085,20.71413626,572.13203112,515.39026243,632.07147034,2918.61609264,636.08265806,470.55217424
34,30.702906297578497,-6449.635190406219,26.93208452,571.66721391,515.37467425,632.08093475,2911.24507563,636.63321053,470.88105335
35,38.88155180308085,-6449.838875359756,35.36317751,571.10407733,515.38011279,632.08452934,2901.73840226,637.15037274,471.33674851
